2020-11-11,35 minutes and 16.15 seconds
2020-11-11,34 minutes and 11.21 seconds
2020-11-11,15 minutes and 21.77 seconds
2020-11-11,2 minutes and 35.68 seconds
2020-11-11,1 hour and 0.74 seconds
2020-11-12,"1 hour, 22 minutes and 16.48 seconds"
2020-11-12,"1 hour, 21 minutes and 4.37 seconds"
2020-11-12,"1 hour, 14 minutes and 47.08 seconds"
2020-11-17,3.43 seconds
2020-11-17,4.94 seconds
2020-11-17,5.11 seconds
